Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.02     99.30     0.03 10214320     0.00     0.00  camlDm__method_node_kind_1344
  0.02     99.32     0.03  6619566     0.00     0.00  camlPhysical_util__fun_493
  0.02     99.35     0.03  5449818     0.00     0.00  camlPhysical_value_util__slice_item_list_248
  0.02     99.37     0.03   751743     0.00     0.00  camlStreaming_util__fmktse_event_220
  0.02     99.39     0.02  6847695     0.00     0.00  camlCode_tuple__fun_574
  0.02     99.41     0.02  4719543     0.00     0.00  camlFormat__peek_queue_219
  0.02     99.43     0.02  4161472     0.00     0.00  camlCode_fn___fs_distinct_docorder_3856
  0.02     99.45     0.02  4161472     0.00     0.00  camlCode_fn__remove_sorted_node_dup_3276
  0.02     99.47     0.02  4161472     0.00     0.00  camlPhysical_util__get_node_cursor_345
  0.02     99.49     0.02  4121904     0.00     0.00  camlCs_util_coercion__coerce_unary_item_cursor_to_item_cursor_472
  0.02     99.51     0.02  4097320     0.00     0.00  camlCode_map__build_default_tuple_map_concat_code_281
